id,first_name,last_name,email,city,age,economy,gender,spouse,spouse_customer,children,policy_name,Spouse_customer_Policy,Spouse_age,Spouse_economy
1,Deborah,White,dwhite0@plala.or.jp,Breia,49,$961324.03,Female,yes,yes,3,Limited Pay Insurance,Limited Pay Insurance,36,$174690.44
2,Joseph,Price,jprice1@indiegogo.com,Loughrea,79,$70048.15,Male,yes,yes,1,Whole Life Insurance,Term Insurance,47,$862758.94
3,Albert,Cox,acox2@mail.ru,Līvāni,24,$612655.69,Male,yes,no,1,Limited Pay Insurance,Accidental Death Insurance,78,$36794.80
4,James,Ferguson,jferguson3@gizmodo.com,Sremska Mitrovica,57,$4822.48,Male,yes,yes,1,Limited Pay Insurance,Universal Life Insurance,57,$578528.55
5,Billy,Matthews,bmatthews4@msn.com,Barbosa,37,$984886.59,Male,yes,yes,3,Term Insurance,Term Insurance,38,$809368.96
6,Roy,Little,rlittle5@ameblo.jp,Swords,51,$392481.82,Male,yes,yes,0,Term Insurance,Whole Life Insurance,23,$126961.50
7,Diane,White,dwhite6@google.co.uk,Xia Dawo,76,$673191.60,Female,yes,yes,0,Endowment Insurance,Limited Pay Insurance,65,$799173.22
8,Brenda,Porter,bporter7@alexa.com,Hondo Valle,68,$677544.93,Female,no,yes,1,Accidental Death Insurance,Accidental Death Insurance,74,$904771.04
9,Aaron,Woods,awoods8@bloomberg.com,Valladolid,48,$737872.05,Male,yes,no,2,Universal Life Insurance,Endowment Insurance,77,$317004.73
10,Cheryl,Olson,colson9@ovh.net,'s-Hertogenbosch,20,$624962.78,Female,yes,yes,2,Universal Life Insurance,Universal Life Insurance,54,$769306.57
11,Ashley,Torres,atorresa@redcross.org,Thành Phố Ninh Bình,26,$888043.13,Female,yes,no,1,Whole Life Insurance,Term Insurance,20,$843875.59
12,Chris,Evans,cevansb@photobucket.com,Skelleftehamn,34,$875444.14,Male,no,no,0,Endowment Insurance,Term Insurance,78,$907088.17
13,Eric,Harper,eharperc@hexun.com,Pinhal da Marquesa,26,$447168.88,Male,yes,no,3,Whole Life Insurance,Universal Life Insurance,57,$445001.62
14,Sara,Weaver,sweaverd@wordpress.org,Tampa,26,$83338.17,Female,yes,yes,2,Universal Life Insurance,Universal Life Insurance,46,$967704.20
15,Donna,Palmer,dpalmere@i2i.jp,Girsereng,24,$716362.98,Female,yes,yes,1,Term Insurance,Universal Life Insurance,73,$896714.18
16,Steve,Spencer,sspencerf@yale.edu,Kaédi,29,$8941.65,Male,yes,yes,1,Term Insurance,Accidental Death Insurance,57,$377213.81
